Name,Pop_2001,Pop_2011,Pop_2021
Achham,231285,257477,228852
Arghakhanchi,208391,197632,177086
Baglung,268937,268613,249211
Baitadi,234418,250898,242157
Bajhang,167026,195159,189085
Bajura,108781,134912,138523
Banke,385840,491313,603194
Bara,559135,687708,763137
Bardiya,382649,426576,459900
Bhaktapur,225461,304651,432132
Bhojpur,203018,182459,157923
Chitwan,472048,579984,719859
Dadeldhura,126162,142094,139602
Dailekh,225201,261770,252313
Dang Deukhuri,462380,552583,674993
Darchula,121996,133274,133310
Dhading,338658,336067,325710
Dhankuta,166479,163412,150599
Dhanusa,671364,754777,867747
Dolakha,204229,186557,172767
Dolpa,29545,36700,42774
Doti,207066,211746,204831
East Rukum,48051,53184,56786
Gorkha,288134,271061,251027
Gulmi,296654,280160,246494
Humla,40595,50858,55394
Ilam,282806,290254,279534
Jajarkot,134868,171304,189360
Jhapa,688109,812650,998054
Jumla,89427,108921,118349
Kailali,616697,775709,904666
Kalikot,105580,136948,145292
Kanchanpur ,377899,451248,513757
Kapilvastu,481976,571936,682961
Kaski,380527,492098,600051
Kathmandu,1081845,1744240,2041587
Kavrepalanchok,385672,381937,364039
Khotang,231385,206312,175298
Lalitpur,337785,468132,551667
Lamjung,177149,167724,155852
Mahottari,553481,627580,706994
Makwanpur,392604,420477,466073
Manang,9587,6538,5658
Morang,843220,965370,1148156
Mugu,43937,55286,64549
Mustang,14981,13452,14452
Myagdi,114447,113641,107033
Nawalparasi East,272557,311604,378079
Nuwakot,288478,277471,263391
Okhaldhunga,156702,147984,139552
Palpa,268558,261180,245027
Panchthar,202056,191817,172400
Nawalparasi West,290313,331904,386868
Parbat,157826,146590,130887
Parsa,497219,601017,654471
Pyuthan,212484,228102,232019
Ramechhap,212408,202646,170302
Rasuwa,44731,43300,46689
Rautahat,545132,686722,813573
Rolpa,210004,224506,234793
Rupandehi,708419,880196,1121957
Salyan,213500,242444,238515
Sankhuwasabha,159203,158742,158041
Saptari,570282,639284,706255
Sarlahi,635701,769729,862470
Sindhuli,279821,296192,300026
Sindhupalchowk,305857,287798,262624
Siraha,572399,637328,739953
Solukhumbu,107686,105886,104851
Sunsari,625633,763487,926962
Surkhet,288527,350804,415126
Syangja,317320,289148,253024
Tanahun,315237,323288,321153
Taplejung,134698,127461,120590
Tehrathum,113111,101577,88731
Udayapur,287689,317532,340721
West Rukum,140387,155383,166740
